,cid
924,3117284
925,72934615
926,95800009
927,3398659
928,91650747
929,110118644
930,3148009
931,985589
932,9964521
933,65319512
934,10104243
935,730370
936,53639811
937,110088186
938,3240503
939,132948290
940,110247470
941,118784106
942,131951789
943,53057482
944,655093
945,110215200
946,85500513
947,1811202
948,95854075
949,137906862
950,828734
951,652081
952,756700
953,746803
954,110084987
955,110262893
956,46352560
957,84592613
958,2341435
959,75218468
960,51160608
961,2999787
962,72013097
963,131909116
964,2429049
965,53204961
966,75392949
967,1347759
968,328077
969,16487815
970,75988815
971,668827
972,129596182
973,653765
974,1272668
975,20921651
976,122243202
977,929654
978,56876242
979,16014324
980,60976545
981,110152841
982,44095566
983,2822131
984,3123773
985,53151741
986,1984311
987,24685620
988,45170509
989,5308890
990,1899121
991,39855015
992,2731110
993,5318
994,2098935
995,131725
996,5304040
997,92128151
998,2983566
999,134160652
1000,15945446
1001,16311816
1002,18221219
1003,71938253
1004,121518681
1005,6724
1006,110120731
1007,45897012
1008,16668497
1009,16619587
1010,44044514
1011,1942812
1012,135523810
1013,858422
1014,3286419
1015,126851212
1016,90488111
1017,777240
1018,22554459
1019,9550366
1020,110118890
1021,357770
1022,2039982
1023,92413031
1024,2115079
1025,4198913
1026,110268580
1027,54729013
1028,86308157
1029,57364
1030,71928058
1031,17446051
1032,2956645
1033,92568273
1034,17567116
1035,1319300
1036,2473986
1037,134161428
1038,2802820
1039,51031035
1040,46359362
1041,126851556
1042,4798522
1043,2960025
1044,30849350
1045,72872985
1046,54687579
1047,2728237
1048,71938514
1049,9796459
1050,118775901
1051,27555535
1052,91652296
1053,124217852
1054,2102
1055,2565036
1056,53020606
1057,2930474
1058,4267596
1059,24236075
1060,91920604
1061,87052020
1062,71687177
1063,2918857
1064,24733024
1065,121172117
1066,24561466
1067,71068
1068,74734300
1069,131703994
1070,1318518
1071,45212682
1072,1983138
1073,91906746
1074,6728941
1075,20877551
1076,2766500
1077,22200891
1078,611538
1079,6621901
1080,3235920
1081,306294
1082,91818389
1083,790168
1084,7517715
1085,45911771
1086,86784748
1087,12912318
1088,124213835
1089,40075200
1090,864
1091,78146999
1092,16367649
1093,131925267
1094,853307
1095,2062920
1096,45853303
1097,16015742
1098,1484540
1099,53006421
1100,124078311
1101,110200077
1102,17380765
1103,4141016
1104,649107
1105,91917358
1106,92443293
1107,131922381
1108,3983029
1109,10083077
1110,92624460
1111,53145397
1112,4255913
1113,126850740
1114,20873393
1115,45979905
1116,137089821
1117,1962279
1118,46277943
1119,121017186
1120,3158310
1121,818931
1122,2980034
1123,135444808
1124,1492572
1125,56793940
1126,20879056
1127,3245883
1128,1119085
1129,119069144
1130,4878804
1131,892437
1132,110255000
1133,7185168
1134,124940430
1135,5081798
1136,3166
1137,1273820
1138,51121453
1139,2905571
1140,5310372
1141,595212
1142,19578517
1143,2766242
1144,120270789
1145,53335526
1146,896134
1147,23354213
1148,46976574
1149,4125989
1150,2941792
1151,72911351
1152,2375429
1153,3353990
1154,8057502
1155,16906974
1156,57340666
1157,75479927
1158,4971847
1159,50814514
1160,42215766
1161,20969623
1162,110244352
1163,24682915
1164,135472870
1165,154780195
1166,135436102
1167,1106266
1168,36465515
1169,812484
1170,6307
1171,683409
1172,654073
1173,3236983
1174,91661393
1175,86771085
1176,91916956
1177,2866210
1178,4074996
1179,2789562
1180,775022
1181,2131557
1182,121524783
1183,4663848
1184,706851
1185,53059844
1186,75232419
1187,23963343
1188,23607959
1189,57397079
1190,791
1191,2741751
1192,17478769
1193,50846368
1194,4840816
1195,26322488
1196,17741373
1197,53191290
1198,848233
1199,17459436
1200,7359933
1201,78077094
1202,50985427
1203,137092174
1204,71898266
1205,66509778
1206,121499322
1207,3264102
1208,16043879
1209,2938239
1210,50971199
1211,137915427
1212,2027417
1213,46980067
1214,4712565
1215,13546651
1216,714271
1217,71991368
1218,20903946
1219,20860502
1220,110098927
1221,91628135
1222,2546065
1223,2775991
1224,53104680
1225,3920967
1226,91631734
1227,3900484
1228,124072734
1229,16026196
1230,46395647
1231,2778822
1232,53332222
1233,7998551
1234,46277462
1235,2732879
1236,2316434
1237,71993217
1238,3155688
1239,5307753
1240,2422081
1241,2852599
1242,1349769
1243,7271891
1244,20938150
1245,20929132
1246,757610
1247,22515844
1248,997475
1249,9440730
1250,5300521
1251,42686225
1252,938721
1253,75061412
1254,92619186
1255,2125186
1256,645300
1257,4430970
1258,1323308
1259,56563923
1260,425828
1261,145923708
1262,700566
1263,76148193
1264,53135475
1265,4774399
1266,1296824
1267,2141174
1268,53410230
1269,56906684
1270,119099719
1271,46340151
1272,2296132
1273,76576534
1274,756599
1275,126855552
1276,122161636
1277,44820895
1278,121023133
1279,126855251
1280,43317064
1281,2529796
1282,114810
1283,50838204
1284,2316531
1285,1132928
1286,3017450
1287,45872462
1288,4962133
1289,53174749
1290,11510579
1291,53041536
1292,3145203
1293,24994854
1294,16029579
1295,44828492
1296,2131504
1297,47020473
1298,2820514
1299,2297688
1300,72010916
1301,95812441
1302,2922133
1303,5299217
1304,5021967
1305,4843757
1306,86784763
1307,16665853
1308,135959617
1309,119104083
1310,5330286
1311,45214379
1312,11399764
1313,4536370
1314,4599
1315,50757779
1316,1100813
1317,659042
1318,71987692
1319,28391320
1320,134895646
1321,389
1322,20936344
1323,121497996
1324,5121986
1325,17599328
1326,45901347
1327,7578701
1328,67033159
1329,110084754
1330,75505875
1331,53075969
1332,73139767
1333,25352189
1334,623695
1335,16872939
1336,2795987
1337,145712357
1338,740004
1339,2745515
1340,16673489
1341,8850847
1342,7293437
1343,118787102
1344,4691
1345,110119745
1346,122246510
1347,129608972
1348,1312505
1349,131915230
1350,44823744
1351,2122644
1352,3155499
1353,5307135
1354,8721552
1355,2460650
1356,124215950
1357,122280709
1358,2805536
1359,75504871
1360,22522640
1361,9453256
1362,46976240
1363,3482168
1364,22551412
1365,4828894
1366,53621539
1367,4791027
1368,20889444
1369,53167988
1370,110085501
1371,17443450
1372,132372266
1373,110149401
1374,124072749
1375,2930098
1376,49658357
1377,769155
1378,71970840
1379,4344344
1380,4720118
1381,6458834
1382,53077541
1383,3763830
1384,110259915
1385,110237016
1386,1339334
1387,16379290
1388,3901166
1389,110265974
1390,17465374
1391,129613120
1392,4795047
1393,2197673
1394,122257999
1395,110212849
1396,110120874
1397,652446
1398,2729118
1399,973872
1400,311065
1401,1130296
1402,132779234
1403,25171648
1404,17520589
1405,110097668
1406,2821412
1407,74443512
1408,739436
1409,23739391
1410,4891504
1411,3831364
1412,16023071
1413,621634
1414,16227842
1415,53090191
1416,2814842
1417,91932364
1418,46397143
1419,53191086
1420,1159974
1421,2789966
1422,654997
1423,667251
1424,86780480
1425,46275107
1426,162797878
1427,136735673
1428,132451075
1429,45355330
1430,3937355
1431,1316236
1432,42569961
1433,1151197
1434,5271805
1435,60178541
1436,45887661
1437,42649604
1438,79091641
